year_month,tag_id,tag_name,post_count,total_count
20-May,16,python,29448,2045291
20-Apr,16,python,27624,2045291
20-Jun,16,python,27108,2045291
20-Jul,16,python,26271,2045291
22-Mar,16,python,24490,2045291
21-Mar,16,python,23953,2045291
22-Apr,16,python,23497,2045291
21-Nov,16,python,23206,2045291
22-May,16,python,23096,2045291
20-Aug,16,python,23047,2045291
21-Jan,16,python,22904,2045291
20-Oct,16,python,22811,2045291
21-Apr,16,python,22733,2045291
20-Mar,16,python,22683,2045291
22-Jul,16,python,22555,2045291
22-Feb,16,python,22506,2045291
22-Jan,16,python,22505,2045291
21-May,16,python,22478,2045291
22-Jun,16,python,22252,2045291
20-Dec,16,python,22231,2045291
20-Nov,16,python,22206,2045291
22-Aug,16,python,22076,2045291
21-Dec,16,python,21913,2045291
20-Sep,16,python,21750,2045291
20-May,3,javascript,21471,2438229
21-Feb,16,python,21423,2045291
21-Jun,16,python,20977,2045291
20-Apr,3,javascript,20897,2438229
22-Sep,16,python,20830,2045291
21-Oct,16,python,20757,2045291
21-Jul,16,python,20647,2045291
20-Feb,16,python,20039,2045291
20-Jan,16,python,19962,2045291
21-Aug,16,python,19903,2045291
20-Jul,3,javascript,19888,2438229
20-Jun,3,javascript,19814,2438229
21-Sep,16,python,19087,2045291
20-Aug,3,javascript,18054,2438229
20-Mar,3,javascript,17565,2438229
21-Jan,3,javascript,16887,2438229
21-Mar,3,javascript,16779,2438229
20-Sep,3,javascript,16769,2438229
20-Oct,3,javascript,16436,2438229
22-Mar,3,javascript,16251,2438229
22-Jan,3,javascript,16173,2438229
22-May,3,javascript,16035,2438229
20-Dec,3,javascript,16032,2438229
20-Jan,3,javascript,16015,2438229
22-Apr,3,javascript,15921,2438229
21-Apr,3,javascript,15867,2438229
21-May,3,javascript,15828,2438229
21-Nov,3,javascript,15741,2438229
20-Feb,3,javascript,15726,2438229
22-Aug,3,javascript,15706,2438229
20-Nov,3,javascript,15535,2438229
22-Feb,3,javascript,15369,2438229
21-Feb,3,javascript,15296,2438229
22-Jul,3,javascript,15244,2438229
21-Dec,3,javascript,15203,2438229
22-Jun,3,javascript,15201,2438229
21-Jun,3,javascript,15036,2438229
21-Jul,3,javascript,14788,2438229
22-Sep,3,javascript,14726,2438229
21-Aug,3,javascript,14695,2438229
21-Oct,3,javascript,14531,2438229
21-Sep,3,javascript,14460,2438229
20-Apr,17,java,12618,1871586
20-May,17,java,12017,1871586
20-Mar,17,java,11052,1871586
